"SCHOOL_NAME","SCHOOL_YEAR","race_df","magnet","traditional","total_race","total_school","pct_race","pct_magnet","pct_traditional","dominant_race","STEM","ARTS","IB","MEDICAL","CAREER_TECH","ENVIRONMENTAL","num_programs","pct_free","pct_nonfree","diversity"
"Blake High School",2024,"Asian",18,0,18,1631,0.0110361741263029,1,0,"Black",0,0,0,0,0,0,0,NA,NA,1.23530560507788
"Blake High School",2024,"Black",243,443,686,1631,0.420600858369099,0.354227405247813,0.645772594752187,"Black",0,0,0,0,0,0,0,NA,NA,1.23530560507788
"Blake High School",2024,"Hispanic",226,324,550,1631,0.337216431637033,0.410909090909091,0.589090909090909,"Black",0,0,0,0,0,0,0,NA,NA,1.23530560507788
"Blake High School",2024,"Multiracial",56,20,76,1631,0.0465971796443899,0.736842105263158,0.263157894736842,"Black",0,0,0,0,0,0,0,NA,NA,1.23530560507788
"Blake High School ",2025,"White",213,65,278,1486,0.187079407806191,0.766187050359712,0.233812949640288,"Black",0,0,0,0,0,0,0,NA,NA,1.24239000376692
"Blake High School ",2025,"Asian",16,0,16,1486,0.0107671601615074,1,0,"Black",0,0,0,0,0,0,0,NA,NA,1.24239000376692
"Blake High School ",2025,"Black",228,395,623,1486,0.419246298788694,0.365971107544141,0.634028892455859,"Black",0,0,0,0,0,0,0,NA,NA,1.24239000376692
"Blake High School ",2025,"Hispanic",211,284,495,1486,0.333109017496635,0.426262626262626,0.573737373737374,"Black",0,0,0,0,0,0,0,NA,NA,1.24239000376692
"Blake High School ",2025,"Multiracial",50,24,74,1486,0.0497981157469717,0.675675675675676,0.324324324324324,"Black",0,0,0,0,0,0,0,NA,NA,1.24239000376692
"Building Construction Academy at Bowers Whitley",2024,"White",0,13,13,89,0.146067415730337,0,1,"Hispanic",0,0,0,0,0,0,0,NA,NA,0.91916852373239
"Building Construction Academy at Bowers Whitley",2024,"Asian",0,0,0,89,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,NA,NA,0.91916852373239
"Building Construction Academy at Bowers Whitley",2024,"Black",0,21,21,89,0.235955056179775,0,1,"Hispanic",0,0,0,0,0,0,0,NA,NA,0.91916852373239
"Building Construction Academy at Bowers Whitley",2024,"Hispanic",16,39,55,89,0.617977528089888,0.290909090909091,0.709090909090909,"Hispanic",0,0,0,0,0,0,0,NA,NA,0.91916852373239
"Building Construction Academy at Bowers Whitley",2024,"Multiracial",0,0,0,89,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,NA,NA,0.91916852373239
"DOWDELL MIDDLE SCHOOL",2020,"White",29,70,99,560,0.176785714285714,0.292929292929293,0.707070707070707,"Hispanic",0,0,0,0,0,0,0,0.953818827708703,0.0461811722912966,1.13757539264597
"DOWDELL MIDDLE SCHOOL",2020,"Asian",0,0,0,560,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,0.953818827708703,0.0461811722912966,1.13757539264597
"DOWDELL MIDDLE SCHOOL",2020,"Black",70,67,137,560,0.244642857142857,0.510948905109489,0.489051094890511,"Hispanic",0,0,0,0,0,0,0,0.953818827708703,0.0461811722912966,1.13757539264597
"DOWDELL MIDDLE SCHOOL",2020,"Hispanic",94,202,296,560,0.528571428571429,0.317567567567568,0.682432432432432,"Hispanic",0,0,0,0,0,0,0,0.953818827708703,0.0461811722912966,1.13757539264597
"DOWDELL MIDDLE SCHOOL",2020,"Multiracial",13,15,28,560,0.05,0.464285714285714,0.535714285714286,"Hispanic",0,0,0,0,0,0,0,0.953818827708703,0.0461811722912966,1.13757539264597
"DOWDELL MIDDLE SCHOOL",2021,"White",26,61,87,546,0.159340659340659,0.298850574712644,0.701149425287356,"Hispanic",0,0,0,0,0,0,0,0.902877697841727,0.0971223021582734,1.08518166663818
"DOWDELL MIDDLE SCHOOL",2021,"Asian",0,0,0,546,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,0.902877697841727,0.0971223021582734,1.08518166663818
"DOWDELL MIDDLE SCHOOL",2021,"Black",70,72,142,546,0.26007326007326,0.492957746478873,0.507042253521127,"Hispanic",0,0,0,0,0,0,0,0.902877697841727,0.0971223021582734,1.08518166663818
"DOWDELL MIDDLE SCHOOL",2021,"Hispanic",73,226,299,546,0.547619047619048,0.244147157190635,0.755852842809365,"Hispanic",0,0,0,0,0,0,0,0.902877697841727,0.0971223021582734,1.08518166663818
"DOWDELL MIDDLE SCHOOL",2021,"Multiracial",0,18,18,546,0.032967032967033,0,1,"Hispanic",0,0,0,0,0,0,0,0.902877697841727,0.0971223021582734,1.08518166663818
"DOWDELL MIDDLE SCHOOL",2022,"White",20,47,67,512,0.130859375,0.298507462686567,0.701492537313433,"Hispanic",0,0,0,0,0,0,0,1,0,1.05193165289502
"DOWDELL MIDDLE SCHOOL",2022,"Asian",0,0,0,512,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,1,0,1.05193165289502
